Year,Athlete,Country/State,Time,Notes
1897,John J. McDermott,United States (NY),2:55:10,
1898,Ronald J. MacDonald,Canada,2:42:00,
1899,Lawrence Brignolia,United States (MA),2:54:38,
1900,"John ""Jack"" Caffery",Canada,2:39:44,
1901,"John ""Jack"" Caffery",Canada,2:29:23,2nd victory
1902,Sammy Mellor,United States (NY),2:43:12,
1903,John Lorden,United States (MA),2:41:29,
1904,Michael Spring,United States (NY),2:38:04,
1905,Frederick Lorz,United States (NY),2:38:25,
1906,Tim Ford,United States (MA),2:45:45,
1907,Thomas Longboat,Canada,2:24:24,
1908,Thomas Morrissey,United States (NY),2:25:43,
1909,Henri Renaud,United States (NH),2:53:36,
1910,Fred Cameron,Canada,2:28:52,
1911,Clarence DeMar,United States (MA),2:21:39,
1912,Michael J. Ryan,United States (NY),2:21:18,
1913,Fritz Carlson,United States (MN),2:25:14,
1914,James Duffy,Canada,2:25:14,
1915,Édouard Fabre,Canada,2:31:41,
1916,Arthur Roth,United States (MA),2:27:16,
1917,Bill Kennedy,United States (NY),2:28:37,
1918,Camp Devens relay team[3],United States (MA),2:29:53,1918 race was relay for 10-man military teams
1919,Carl Linder,United States (MA),2:29:13,
1920,Peter Trivoulides,Greece,2:29:31,Represented Greece at Olympic Games later that year
1921,Frank Zuna,United States (NY),2:18:57,
1922,Clarence DeMar,United States (MA),2:18:10,2nd victory
1923,Clarence DeMar,United States (MA),2:23:47,3rd victory
1924,Clarence DeMar,United States (MA),2:29:40,4th victory
1925,Charles Mellor,United States (IL),2:33:00,
1926,Johnny Miles,Canada,2:25:40,
1927,Clarence DeMar,United States (MA),2:40:22,5th victory
1928,Clarence DeMar,United States (MA),2:37:07,6th victory
1929,Johnny Miles,Canada,2:33:08,2nd victory
1930,Clarence DeMar,United States (MA),2:34:48,7th victory
1931,James Henigan,United States (MA),2:46:45,
1932,Paul de Bruyn,Germany,2:33:36,
1933,Leslie S. Pawson,United States (RI),2:31:01,
1934,Dave Komonen,Canada,2:32:53,
1935,John A. Kelley,United States (MA),2:32:07,
1936,Ellison Brown,United States (RI),2:33:40,
1937,Walter Young,Canada,2:33:20,
1938,Leslie S. Pawson,United States (RI),2:35:34,2nd victory
1939,Ellison Brown,United States (RI),2:28:51,2nd victory
1940,Gérard Côté,Canada,2:28:28,
1941,Leslie S. Pawson,United States (RI),2:30:38,3rd victory
1942,Joe Smith,United States (MA),2:26:51,
1943,Gérard Côté,Canada,2:28:25,2nd victory
1944,Gérard Côté,Canada,2:31:50,3rd victory
1945,John A. Kelley,United States (MA),2:30:40,2nd victory
1946,Stylianos Kyriakides,Greece,2:29:27,
1947,Suh Yun-bok,South Korea,2:25:39,
1948,Gérard Côté,Canada,2:31:02,4th victory
1949,Gösta Leandersson,Sweden,2:31:50,
1950,Ham Kee-Yong,South Korea,2:32:39,
1951,Shigeki Tanaka,Japan,2:27:45,
1952,Doroteo Flores,Guatemala,2:31:53,Only Guatemalan to ever win the marathon
1953,Keizo Yamada,Japan,2:18:51,
1954,Veikko Karvonen,Finland,2:20:39,
1955,Hideo Hamamura,Japan,2:18:22,
1956,Antti Viskari,Finland,2:14:14,
1957,John J. Kelley,United States (CT),2:20:05,
1958,Franjo Mihalić,Yugoslavia,2:25:54,
1959,Eino Oksanen,Finland,2:22:42,
1960,Paavo Kotila,Finland,2:20:54,
1961,Eino Oksanen,Finland,2:23:39,2nd victory
1962,Eino Oksanen,Finland,2:23:48,3rd victory
1963,Aurèle Vandendriessche,Belgium,2:18:58,
1964,Aurèle Vandendriessche,Belgium,2:19:59,2nd victory
1965,Morio Shigematsu,Japan,2:16:33,
1966,Kenji Kimihara,Japan,2:17:11,
1967,Dave McKenzie,New Zealand,2:15:45,
1968,Amby Burfoot,United States (CT),2:22:17,
1969,Yoshiaki Unetani,Japan,2:13:49,
1970,Ron Hill,United Kingdom,2:10:30,
1971,Álvaro Mejía,Colombia,2:18:45,
1972,Olavi Suomalainen,Finland,2:15:39,
1973,Jon Anderson,United States (OR),2:16:03,
1974,Neil Cusack,Ireland,2:13:39,
1975,Bill Rodgers,United States (MA),2:09:55,
1976,Jack Fultz,United States (VA),2:20:19,
1977,Jerome Drayton,Canada,2:14:46,
1978,Bill Rodgers,United States (MA),2:10:13,2nd victory
1979,Bill Rodgers,United States (MA),2:09:27,3rd victory
1980,Bill Rodgers,United States (MA),2:12:11,4th victory
1981,Toshihiko Seko,Japan,2:09:26,
1982,Alberto Salazar,United States (MA),2:08:52,
1983,Greg Meyer,United States (MI),2:09:00,
1984,Geoff Smith,United Kingdom,2:10:34,
1985,Geoff Smith,United Kingdom,2:14:05,2nd victory
1986,Robert de Castella,Australia,2:07:51,
1987,Toshihiko Seko,Japan,2:11:50,2nd victory
1988,Ibrahim Hussein,Kenya,2:08:43,
1989,Abebe Mekonnen,Ethiopia,2:09:06,
1990,Gelindo Bordin,Italy,2:08:19,
1991,Ibrahim Hussein,Kenya,2:11:06,2nd victory
1992,Ibrahim Hussein,Kenya,2:08:14,3rd victory
1993,Cosmas Ndeti,Kenya,2:09:33,
1994,Cosmas Ndeti,Kenya,2:07:15,"2nd victory,"
1995,Cosmas Ndeti,Kenya,2:09:22,3rd victory
1996,Moses Tanui,Kenya,2:09:15,
1997,Lameck Aguta,Kenya,2:10:34,
1998,Moses Tanui,Kenya,2:07:34,2nd victory
1999,Joseph Chebet,Kenya,2:09:52,
2000,Elijah Lagat,Kenya,2:09:47,
2001,Lee Bong-Ju,South Korea,2:09:43,
2002,Rodgers Rop,Kenya,2:09:02,
2003,Robert Kipkoech Cheruiyot,Kenya,2:10:11,
2004,Timothy Cherigat,Kenya,2:10:37,
2005,Hailu Negussie,Ethiopia,2:11:44,
2006,Robert Kipkoech Cheruiyot,Kenya,2:07:14,2nd victory
2007,Robert Kipkoech Cheruiyot,Kenya,2:14:13,3rd victory
2008,Robert Kipkoech Cheruiyot,Kenya,2:07:45,4th victory
2009,Deriba Merga,Ethiopia,2:08:42,
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52,
2011,Geoffrey Mutai,Kenya,2:03:02,Current men's course record
2012,Wesley Korir,Kenya,2:12:40,
2013,Lelisa Desisa Benti,Ethiopia,2:10:22,
2014,Meb Keflezighi,United States (CA),2:08:37,First American win since 1983
2015,Lelisa Desisa Benti,Ethiopia,2:09:17,2nd victory
2016,Lemi Berhanu Hayle,Ethiopia,2:12:45,
2017,Geoffrey Kirui,Kenya,2:09:37,
2018,TBD,TBD,TBD,
